state,county,tract,NAME,GEO_ID,DP04_0089E,DP04_0134E,DP03_0005PE
32,003,000101,"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,223000,1317,5.8
32,003,000103,"Census Tract 1.03, Clark County, Nevada",1400000US32003000103,188000,965,3.0
32,003,000105,"Census Tract 1.05, Clark County, Nevada",1400000US32003000105,210000,1299,6.4
32,003,000106,"Census Tract 1.06, Clark County, Nevada",1400000US32003000106,190800,847,4.3
32,003,000107,"Census Tract 1.07, Clark County, Nevada",1400000US32003000107,182100,974,0.6
32,003,000108,"Census Tract 1.08, Clark County, Nevada",1400000US32003000108,165800,841,7.4
32,003,000109,"Census Tract 1.09, Clark County, Nevada",1400000US32003000109,168600,1101,6.0
32,003,000201,"Census Tract 2.01, Clark County, Nevada",1400000US32003000201,234100,915,3.5
32,003,000203,"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,206600,1153,6.6
32,003,000204,"Census Tract 2.04, Clark County, Nevada",1400000US32003000204,353800,1835,3.2
32,003,000301,"Census Tract 3.01, Clark County, Nevada",1400000US32003000301,140600,793,7.2
32,003,000302,"Census Tract 3.02, Clark County, Nevada",1400000US32003000302,162200,831,9.0
32,003,000401,"Census Tract 4.01, Clark County, Nevada",1400000US32003000401,160000,509,12.6
32,003,000402,"Census Tract 4.02, Clark County, Nevada",1400000US32003000402,133300,701,5.1
32,003,000403,"Census Tract 4.03, Clark County, Nevada",1400000US32003000403,116100,572,1.8
32,003,000510,"Census Tract 5.10, Clark County, Nevada",1400000US32003000510,177500,1011,5.0
32,003,000513,"Census Tract 5.13, Clark County, Nevada",1400000US32003000513,147200,1062,2.9
32,003,000514,"Census Tract 5.14, Clark County, Nevada",1400000US32003000514,99900,998,4.4
32,003,000515,"Census Tract 5.15, Clark County, Nevada",1400000US32003000515,166300,1197,3.9
32,003,000516,"Census Tract 5.16, Clark County, Nevada",1400000US32003000516,133500,848,3.0
32,003,000517,"Census Tract 5.17, Clark County, Nevada",1400000US32003000517,204900,1122,3.0
32,003,000518,"Census Tract 5.18, Clark County, Nevada",1400000US32003000518,139300,927,3.3
32,003,000519,"Census Tract 5.19, Clark County, Nevada",1400000US32003000519,205100,946,8.5
32,003,000520,"Census Tract 5.20, Clark County, Nevada",1400000US32003000520,135400,1122,2.0
32,003,000521,"Census Tract 5.21, Clark County, Nevada",1400000US32003000521,107700,689,7.2
32,003,000522,"Census Tract 5.22, Clark County, Nevada",1400000US32003000522,156700,794,10.1
32,003,000523,"Census Tract 5.23, Clark County, Nevada",1400000US32003000523,155600,679,2.8
32,003,000524,"Census Tract 5.24, Clark County, Nevada",1400000US32003000524,177000,845,3.6
32,003,000525,"Census Tract 5.25, Clark County, Nevada",1400000US32003000525,158800,701,3.5
32,003,000526,"Census Tract 5.26, Clark County, Nevada",1400000US32003000526,162000,1047,1.3
32,003,000527,"Census Tract 5.27, Clark County, Nevada",1400000US32003000527,177900,1068,2.4
32,003,000528,"Census Tract 5.28, Clark County, Nevada",1400000US32003000528,102000,945,3.3
32,003,000600,"Census Tract 6, Clark County, Nevada",1400000US32003000600,187800,766,7.5
32,003,000700,"Census Tract 7, Clark County, Nevada",1400000US32003000700,422000,742,0.2
