state,county,tract,NAME,GEO_ID,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03001_002E,B03001_003E,B17006_001E,B17006_002E
32,003,003250,"Census Tract 32.50, Clark County, Nevada",1400000US32003003250,3152,264,0,738,561,20,170,4905,678,1650,315
32,003,003251,"Census Tract 32.51, Clark County, Nevada",1400000US32003003251,1704,47,176,173,24,0,45,2169,219,607,56
32,003,003252,"Census Tract 32.52, Clark County, Nevada",1400000US32003003252,3167,260,0,317,22,0,260,4026,789,780,14
32,003,003253,"Census Tract 32.53, Clark County, Nevada",1400000US32003003253,2022,44,0,372,16,0,408,2862,1067,871,190
32,003,003254,"Census Tract 32.54, Clark County, Nevada",1400000US32003003254,2132,440,0,290,24,0,51,2937,948,790,140
32,003,003260,"Census Tract 32.60, Clark County, Nevada",1400000US32003003260,2019,224,0,267,126,0,162,2798,729,809,52
32,003,003261,"Census Tract 32.61, Clark County, Nevada",1400000US32003003261,1744,39,28,74,36,0,34,1955,639,540,114
32,003,003262,"Census Tract 32.62, Clark County, Nevada",1400000US32003003262,2555,42,13,177,13,0,0,2800,53,0,0
32,003,003307,"Census Tract 33.07, Clark County, Nevada",1400000US32003003307,3446,887,0,390,0,0,499,5222,1194,1649,198
32,003,003308,"Census Tract 33.08, Clark County, Nevada",1400000US32003003308,1835,376,0,169,0,0,91,2471,555,609,0
32,003,003309,"Census Tract 33.09, Clark County, Nevada",1400000US32003003309,2754,508,0,135,0,22,151,3570,504,903,61
32,003,003310,"Census Tract 33.10, Clark County, Nevada",1400000US32003003310,3489,327,35,275,79,0,201,4406,424,1169,31
32,003,003311,"Census Tract 33.11, Clark County, Nevada",1400000US32003003311,2317,376,0,178,0,0,227,3098,618,1037,77
32,003,003312,"Census Tract 33.12, Clark County, Nevada",1400000US32003003312,2510,175,16,261,0,0,330,3292,483,1194,49
32,003,003313,"Census Tract 33.13, Clark County, Nevada",1400000US32003003313,2044,96,0,220,22,30,53,2465,739,1115,0
32,003,003314,"Census Tract 33.14, Clark County, Nevada",1400000US32003003314,5426,209,0,525,23,0,226,6409,865,2257,0
32,003,003315,"Census Tract 33.15, Clark County, Nevada",1400000US32003003315,2343,462,0,378,0,0,264,3447,839,1490,154
32,003,003316,"Census Tract 33.16, Clark County, Nevada",1400000US32003003316,3488,571,75,290,35,5,231,4695,1072,1896,172
32,003,003317,"Census Tract 33.17, Clark County, Nevada",1400000US32003003317,1895,87,0,86,0,0,73,2141,405,660,29
32,003,003318,"Census Tract 33.18, Clark County, Nevada",1400000US32003003318,3133,520,0,548,77,0,191,4469,521,1509,149
32,003,003319,"Census Tract 33.19, Clark County, Nevada",1400000US32003003319,3876,566,52,435,0,0,351,5280,1107,1759,83
32,003,003320,"Census Tract 33.20, Clark County, Nevada",1400000US32003003320,2907,415,0,282,0,0,61,3665,1155,1067,0
32,003,003321,"Census Tract 33.21, Clark County, Nevada",1400000US32003003321,1725,234,0,126,0,0,169,2254,205,408,0
32,003,003426,"Census Tract 34.26, Clark County, Nevada",1400000US32003003426,1691,710,0,128,9,0,73,2611,905,875,314
32,003,003427,"Census Tract 34.27, Clark County, Nevada",1400000US32003003427,1285,565,1,216,0,12,100,2179,1473,902,272
32,003,003428,"Census Tract 34.28, Clark County, Nevada",1400000US32003003428,858,215,0,0,15,24,13,1125,902,502,268
32,003,003429,"Census Tract 34.29, Clark County, Nevada",1400000US32003003429,1350,1132,21,203,61,30,344,3141,2329,1455,644
32,003,003431,"Census Tract 34.31, Clark County, Nevada",1400000US32003003431,507,653,10,100,0,0,79,1349,1929,1228,747
32,003,003617,"Census Tract 36.17, Clark County, Nevada",1400000US32003003617,234,512,0,29,0,0,53,828,537,271,83
32,003,003619,"Census Tract 36.19, Clark County, Nevada",1400000US32003003619,1292,484,15,416,76,34,178,2495,866,1045,28
32,003,003430,"Census Tract 34.30, Clark County, Nevada",1400000US32003003430,362,861,0,154,26,0,189,1592,1163,645,164
32,003,003616,"Census Tract 36.16, Clark County, Nevada",1400000US32003003616,446,1678,7,94,0,0,31,2256,2341,1492,488
32,003,003618,"Census Tract 36.18, Clark County, Nevada",1400000US32003003618,4535,944,0,1051,0,0,290,6820,1389,2351,322
32,003,003620,"Census Tract 36.20, Clark County, Nevada",1400000US32003003620,2302,960,0,721,91,0,187,4261,1109,1631,87
32,003,003621,"Census Tract 36.21, Clark County, Nevada",1400000US32003003621,2674,140,8,177,0,0,57,3056,58,35,0
32,003,003622,"Census Tract 36.22, Clark County, Nevada",1400000US32003003622,2875,1128,31,614,58,0,296,5002,1095,1931,60
32,003,003623,"Census Tract 36.23, Clark County, Nevada",1400000US32003003623,1903,1325,0,94,0,0,550,3872,1833,1863,311
32,003,003624,"Census Tract 36.24, Clark County, Nevada",1400000US32003003624,2124,2012,0,305,0,0,667,5108,1415,2013,115
32,003,003625,"Census Tract 36.25, Clark County, Nevada",1400000US32003003625,3500,1299,0,349,0,0,181,5329,3053,2918,605
32,003,003626,"Census Tract 36.26, Clark County, Nevada",1400000US32003003626,1564,548,0,647,0,0,301,3060,876,1186,183
32,003,003627,"Census Tract 36.27, Clark County, Nevada",1400000US32003003627,1415,1298,0,214,199,0,63,3189,1291,1158,82
