state,county,tract,NAME,GEO_ID,DP04_0089E,DP04_0134E,DP03_0005PE
32,003,005107,"Census Tract 51.07, Clark County, Nevada",1400000US32003005107,169000,1329,5.6
32,003,005200,"Census Tract 52, Clark County, Nevada",1400000US32003005200,84800,642,11.5
32,003,000101,"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,110100,1189,6.4
32,003,001715,"Census Tract 17.15, Clark County, Nevada",1400000US32003001715,102700,1063,7.7
32,003,001717,"Census Tract 17.17, Clark County, Nevada",1400000US32003001717,223100,-888888888,6.8
32,003,002822,"Census Tract 28.22, Clark County, Nevada",1400000US32003002822,88100,1045,10.0
32,003,002823,"Census Tract 28.23, Clark County, Nevada",1400000US32003002823,67600,842,6.8
32,003,002825,"Census Tract 28.25, Clark County, Nevada",1400000US32003002825,150200,1275,11.2
32,003,002833,"Census Tract 28.33, Clark County, Nevada",1400000US32003002833,200400,1383,5.9
32,003,002916,"Census Tract 29.16, Clark County, Nevada",1400000US32003002916,540500,990,3.2
32,003,000516,"Census Tract 5.16, Clark County, Nevada",1400000US32003000516,67900,933,6.6
32,003,000517,"Census Tract 5.17, Clark County, Nevada",1400000US32003000517,103800,877,7.6
32,003,000800,"Census Tract 8, Clark County, Nevada",1400000US32003000800,99300,603,12.3
32,003,001006,"Census Tract 10.06, Clark County, Nevada",1400000US32003001006,240700,796,6.9
32,003,005016,"Census Tract 50.16, Clark County, Nevada",1400000US32003005016,87200,1207,6.9
32,003,005017,"Census Tract 50.17, Clark County, Nevada",1400000US32003005017,139500,1158,7.3
32,003,005346,"Census Tract 53.46, Clark County, Nevada",1400000US32003005346,265400,1118,3.8
32,003,005347,"Census Tract 53.47, Clark County, Nevada",1400000US32003005347,267600,1386,6.0
32,003,005348,"Census Tract 53.48, Clark County, Nevada",1400000US32003005348,373900,2005,3.2
32,003,005349,"Census Tract 53.49, Clark County, Nevada",1400000US32003005349,330100,1434,5.6
32,003,005350,"Census Tract 53.50, Clark County, Nevada",1400000US32003005350,293700,1246,6.3
32,003,005351,"Census Tract 53.51, Clark County, Nevada",1400000US32003005351,225900,1185,3.1
32,003,005352,"Census Tract 53.52, Clark County, Nevada",1400000US32003005352,285100,1603,4.9
32,003,005711,"Census Tract 57.11, Clark County, Nevada",1400000US32003005711,301500,2557,1.5
32,003,005712,"Census Tract 57.12, Clark County, Nevada",1400000US32003005712,232900,1600,5.6
32,003,005713,"Census Tract 57.13, Clark County, Nevada",1400000US32003005713,252200,1407,2.9
32,003,005714,"Census Tract 57.14, Clark County, Nevada",1400000US32003005714,339000,1687,4.1
32,003,005715,"Census Tract 57.15, Clark County, Nevada",1400000US32003005715,563900,1911,1.8
32,003,005716,"Census Tract 57.16, Clark County, Nevada",1400000US32003005716,352000,1515,2.6
32,003,005822,"Census Tract 58.22, Clark County, Nevada",1400000US32003005822,279200,1834,8.9
32,003,005823,"Census Tract 58.23, Clark County, Nevada",1400000US32003005823,445500,1667,5.1
32,003,005824,"Census Tract 58.24, Clark County, Nevada",1400000US32003005824,382000,1335,2.0
32,003,005825,"Census Tract 58.25, Clark County, Nevada",1400000US32003005825,216000,1028,9.0
32,003,005826,"Census Tract 58.26, Clark County, Nevada",1400000US32003005826,250500,1149,4.7
32,003,005827,"Census Tract 58.27, Clark County, Nevada",1400000US32003005827,218700,1740,5.7
32,003,005828,"Census Tract 58.28, Clark County, Nevada",1400000US32003005828,215600,1407,2.6
32,003,005829,"Census Tract 58.29, Clark County, Nevada",1400000US32003005829,174000,1340,6.4
32,003,005830,"Census Tract 58.30, Clark County, Nevada",1400000US32003005830,194600,1044,7.6
32,003,005831,"Census Tract 58.31, Clark County, Nevada",1400000US32003005831,294700,1770,6.0
32,003,005832,"Census Tract 58.32, Clark County, Nevada",1400000US32003005832,216600,1403,3.1
32,003,005833,"Census Tract 58.33, Clark County, Nevada",1400000US32003005833,204300,1446,3.0
32,003,005834,"Census Tract 58.34, Clark County, Nevada",1400000US32003005834,397200,1645,4.5
32,003,005835,"Census Tract 58.35, Clark County, Nevada",1400000US32003005835,319600,2106,2.1
32,003,005836,"Census Tract 58.36, Clark County, Nevada",1400000US32003005836,180400,1434,7.7
32,003,005837,"Census Tract 58.37, Clark County, Nevada",1400000US32003005837,260800,1586,5.9
32,003,005838,"Census Tract 58.38, Clark County, Nevada",1400000US32003005838,219400,1695,3.4
32,003,005839,"Census Tract 58.39, Clark County, Nevada",1400000US32003005839,271700,1875,3.9
32,003,005840,"Census Tract 58.40, Clark County, Nevada",1400000US32003005840,163500,1423,5.0
32,003,005841,"Census Tract 58.41, Clark County, Nevada",1400000US32003005841,396100,1946,6.5
32,003,005842,"Census Tract 58.42, Clark County, Nevada",1400000US32003005842,931800,1657,3.7
32,003,005843,"Census Tract 58.43, Clark County, Nevada",1400000US32003005843,272200,1559,9.8
32,003,005844,"Census Tract 58.44, Clark County, Nevada",1400000US32003005844,341500,1464,5.8
32,003,005845,"Census Tract 58.45, Clark County, Nevada",1400000US32003005845,282900,1521,5.3
32,003,005846,"Census Tract 58.46, Clark County, Nevada",1400000US32003005846,350000,1444,1.7
32,003,005847,"Census Tract 58.47, Clark County, Nevada",1400000US32003005847,147200,1155,10.8
32,003,005848,"Census Tract 58.48, Clark County, Nevada",1400000US32003005848,178300,1046,11.3
32,003,005849,"Census Tract 58.49, Clark County, Nevada",1400000US32003005849,199700,1108,4.2
32,003,005850,"Census Tract 58.50, Clark County, Nevada",1400000US32003005850,218900,1601,4.2
32,003,005851,"Census Tract 58.51, Clark County, Nevada",1400000US32003005851,246300,1135,3.8
32,003,005852,"Census Tract 58.52, Clark County, Nevada",1400000US32003005852,266900,1266,0.0
32,003,005853,"Census Tract 58.53, Clark County, Nevada",1400000US32003005853,203600,1256,7.4
32,003,005854,"Census Tract 58.54, Clark County, Nevada",1400000US32003005854,135700,1063,5.8
32,003,005855,"Census Tract 58.55, Clark County, Nevada",1400000US32003005855,288900,1446,2.6
32,003,005856,"Census Tract 58.56, Clark County, Nevada",1400000US32003005856,277400,1731,2.1
32,003,005903,"Census Tract 59.03, Clark County, Nevada",1400000US32003005903,225800,1028,3.6
32,003,005904,"Census Tract 59.04, Clark County, Nevada",1400000US32003005904,259800,936,1.5
32,003,005905,"Census Tract 59.05, Clark County, Nevada",1400000US32003005905,148100,744,2.1
32,003,006001,"Census Tract 60.01, Clark County, Nevada",1400000US32003006001,51500,872,6.3
32,003,006104,"Census Tract 61.04, Clark County, Nevada",1400000US32003006104,280100,1316,5.1
32,003,006700,"Census Tract 67, Clark County, Nevada",1400000US32003006700,-888888888,1378,3.4
